TestDate;TestTime;BatchSerialNumber;BatchCustomer;BatchModuleType;BatchProtocolFile;ASCIIFileVersion;
26-09-2018;10:06:29;-;-;-;-;1.04;

CellParamArea [mm²];Tcell [°C];CellParamTkI [%/°C];CellParamTkU [%/°C];Tmonicell [°C];MonicellParamTkI [%/°C];CorrectedToInsol [W/m²];MonicellMvToInsol [W/m²/mV];MonicellSpectralMismatch;CorrectionTyp;IEC60891_RsType;IEC60891_TkI [mA/cm²/K];IEC60891_TkU [mV/K];IEC60891_Kfact [Ohm*cm²/K];IEC60891_FixValRs [Ohm];MeasureTimeLf [ms];ElectronicLoadType;MeasurementType;MonitorcellGainFactor;SectionMeasurementCountLf;IEC60891A_TkI [A/K];IEC60891A_TkU [V/K];IEC60891A_Kfact [Ohm/K];IEC60891A_FixValRs [Ohm];
1940352;24.59;0.07000;-0.30000;23.75;0.04700;1000.00000;19.91474;1.00000;IEC60891A;0;0.000300;-120.00000;0.873000;0.300000;40;EL2;LF;1.00000;1;0.005700;-0.120000;0.00005200;0.300000;

Isc [A];Uoc [V];Impp [A];Umpp [V];Pmpp [W];Eta [%];FF [%];Rser [Ohm];Rshunt [Ohm];Insol [W/m²];
0.08382905;37.21907054;0.05920877;30.61417971;1.81262797;0.09;58.10;-;4510.3;1000.182;

DispUFrom [V];DispUTo [V];DispUScalLines;DispUScalSkip;DispUDecimals;DispIFrom [A];DispITo [A];DispIScalLines;DispIScalSkip;DispIDecimals;MeasTime_raw [ms];MeasTime_cor [ms];
-5.000000;60.000000;13;1.000;1;-1.000000;11.000000;12;1.000;1;40.000;40.000;

Nr;Uraw [[V]];Iraw [[A]];Eraw [[mV]];Uflt [[V]];Iflt [[A]];Eflt [[mV]];Ucor [[V]];Icor [[A]];Ecor [[W/m2]];
0;-1.373377981;6.521338459;5026.349933311;-1.373377981;6.521338459;5026.349933311;-1.423377942;6.523541389;1001.570645948;
1;-1.400618960;6.500725217;5024.825240857;-1.399632861;6.419806730;5024.731413629;-1.449638907;6.422037155;1001.248133225;
2;-1.424655118;6.217126893;5022.995609912;-1.408968362;5.993390967;5023.541289317;-1.458971386;5.995641621;1001.010984281;
3;-1.424655118;5.649265303;5023.300548403;-1.400131270;5.346166794;5022.147085416;-1.450127608;5.348441159;1000.733169620;
4;-1.408631013;4.874938814;5020.251163495;-1.375877742;4.590090397;5021.263559284;-1.425862470;4.592379794;1000.557114660;
5;-1.378185213;3.959311871;5018.421532550;-1.339278686;3.806321713;5020.519509367;-1.389250503;3.808623773;1000.408852289;
6;-1.331715308;2.962229372;5018.726471041;-1.276528290;2.970248588;5020.190175797;-1.326483964;2.972556254;1000.343227962;
7;-1.267618887;1.943536215;5020.556101986;-1.182755226;2.160134850;5020.202373336;-1.232693567;2.162442309;1000.345658492;
8;-1.163462204;0.995327050;5021.165978967;-1.054305999;1.446118720;5020.348743812;-1.104228370;1.448423686;1000.374824860;
9;-0.975980173;0.308773078;5020.251163495;-0.889514102;0.881342467;5020.482916748;-0.939423746;0.883645149;1000.401560697;
10;-0.729208954;0.089674256;5020.861040477;-0.692673994;0.489730751;5020.507311827;-0.742575165;0.492033019;1000.406421759;
11;-0.487244966;0.072718202;5021.165978967;-0.471925922;0.252186402;5020.324348733;-0.521822962;0.254491784;1000.369963799;
12;-0.243678568;0.072385730;5021.470917458;-0.234512780;0.130182603;5019.958422544;-0.284409088;0.132494214;1000.297047879;
